Date,Original Time,Time,HOUR,Temperature(F),Dew Point(F),Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Precip Accum,Condition
14,11:56 AM,AM,00,55,51,86%,WNW,9mph,0mph,29.9in,0.0in,0.0in,Fair
14,12:56 AM,AM,01,53,51,93%,W,8mph,0mph,29.9in,0.0in,0.0in,Fair
14,1:56 AM,AM,02,54,48,80%,SW,3mph,0mph,29.9in,0.0in,0.0in,Partly Cloudy
14,3:03 AM,AM,03,54,47,77%,CALM,0mph,0mph,29.9in,0.0in,0.0in,Mostly Cloudy
14,3:56 AM,AM,04,55,50,83%,W,3mph,0mph,29.9in,0.0in,0.0in,Mostly Cloudy
14,4:56 AM,AM,05,54,49,83%,S,5mph,0mph,29.9in,0.0in,0.0in,Mostly Cloudy
14,5:56 AM,AM,06,53,49,86%,S,7mph,0mph,29.9in,0.0in,0.0in,Mostly Cloudy
14,6:56 AM,AM,07,54,49,83%,SSW,8mph,0mph,29.9in,0.0in,0.0in,Mostly Cloudy
14,7:56 AM,AM,08,54,49,83%,S,9mph,0mph,29.9in,0.0in,0.0in,Mostly Cloudy
14,8:56 AM,AM,09,56,49,77%,SSW,8mph,0mph,29.9in,0.0in,0.0in,Mostly Cloudy
14,9:56 AM,AM,10,58,51,78%,VAR,3mph,0mph,30.0in,0.0in,0.0in,Mostly Cloudy
14,10:56 AM,AM,11,61,52,72%,NNE,5mph,0mph,30.0in,0.0in,0.0in,Fair
14,11:56 AM,AM,12,62,52,70%,NE,5mph,0mph,30.0in,0.0in,0.0in,Fair
14,12:56 PM,PM,13,65,52,63%,NE,3mph,0mph,29.9in,0.0in,0.0in,Fair
14,1:56 PM,PM,14,70,50,49%,NW,9mph,0mph,29.9in,0.0in,0.0in,Fair
14,2:56 PM,PM,15,70,49,47%,WNW,12mph,0mph,29.9in,0.0in,0.0in,Fair
14,3:56 PM,PM,16,68,51,55%,WNW,14mph,0mph,29.9in,0.0in,0.0in,Fair
14,4:56 PM,PM,17,66,51,59%,WNW,20mph,0mph,29.9in,0.0in,0.0in,Fair
14,5:56 PM,PM,18,61,51,70%,WNW,22mph,0mph,29.9in,0.0in,0.0in,Partly Cloudy / Windy
14,6:56 PM,PM,19,59,50,72%,W,17mph,0mph,29.9in,0.0in,0.0in,Fair
14,7:56 PM,PM,20,58,52,81%,W,15mph,0mph,29.9in,0.0in,0.0in,Fair
14,8:56 PM,PM,21,58,52,81%,W,13mph,0mph,30.0in,0.0in,0.0in,Fair
14,9:56 PM,PM,22,58,51,78%,W,9mph,0mph,30.0in,0.0in,0.0in,Fair
14,10:56 PM,PM,23,57,49,74%,S,3mph,0mph,30.0in,0.0in,0.0in,Fair
15,11:56 PM,PM,00,56,49,77%,W,5mph,0mph,30.0in,0.0in,0.0in,Fair
15,12:56 AM,AM,01,58,42,56%,S,3mph,0mph,30.0in,0.0in,0.0in,Fair
15,1:56 AM,AM,02,67,36,32%,NE,15mph,0mph,30.0in,0.0in,0.0in,Fair
15,2:56 AM,AM,03,66,36,33%,ENE,10mph,0mph,30.1in,0.0in,0.0in,Fair
15,3:56 AM,AM,04,67,36,32%,ENE,14mph,0mph,30.1in,0.0in,0.0in,Fair
15,4:56 AM,AM,05,65,40,40%,E,9mph,0mph,30.1in,0.0in,0.0in,Fair
15,5:56 AM,AM,06,65,35,33%,ENE,17mph,0mph,30.1in,0.0in,0.0in,Fair
15,6:56 AM,AM,07,64,33,31%,E,12mph,0mph,30.1in,0.0in,0.0in,Fair
15,7:56 AM,AM,08,61,30,31%,SSE,7mph,0mph,30.1in,0.0in,0.0in,Fair
15,8:56 AM,AM,09,65,26,23%,SE,9mph,0mph,30.1in,0.0in,0.0in,Fair
15,9:56 AM,AM,10,67,24,20%,ESE,8mph,0mph,30.1in,0.0in,0.0in,Fair
15,10:56 AM,AM,11,71,21,15%,SE,12mph,0mph,30.1in,0.0in,0.0in,Fair
15,11:56 AM,AM,12,73,21,14%,SE,8mph,0mph,30.1in,0.0in,0.0in,Fair
15,12:56 PM,PM,13,76,21,13%,SE,6mph,0mph,30.1in,0.0in,0.0in,Fair
15,1:56 PM,PM,14,76,23,14%,CALM,0mph,0mph,30.1in,0.0in,0.0in,Fair
15,2:56 PM,PM,15,79,24,13%,CALM,0mph,0mph,30.1in,0.0in,0.0in,Fair
15,3:56 PM,PM,16,79,33,19%,N,5mph,0mph,30.1in,0.0in,0.0in,Fair
15,4:56 PM,PM,17,73,43,34%,WNW,14mph,0mph,30.1in,0.0in,0.0in,Fair
15,5:56 PM,PM,18,70,34,27%,W,18mph,0mph,30.1in,0.0in,0.0in,Fair
15,6:56 PM,PM,19,67,33,28%,W,17mph,0mph,30.1in,0.0in,0.0in,Fair
15,7:56 PM,PM,20,65,31,28%,WNW,15mph,0mph,30.1in,0.0in,0.0in,Fair
15,8:56 PM,PM,21,65,36,34%,NNW,8mph,0mph,30.1in,0.0in,0.0in,Fair
15,9:56 PM,PM,22,64,34,33%,WNW,7mph,0mph,30.1in,0.0in,0.0in,Fair
15,10:56 PM,PM,23,62,32,32%,WNW,7mph,0mph,30.1in,0.0in,0.0in,Fair
16,11:56 PM,PM,00,61,31,32%,WNW,6mph,0mph,30.1in,0.0in,0.0in,Fair
16,12:56 AM,AM,01,60,32,35%,NW,6mph,0mph,30.1in,0.0in,0.0in,Fair
16,1:56 AM,AM,02,59,34,39%,WNW,5mph,0mph,30.1in,0.0in,0.0in,Fair
16,2:56 AM,AM,03,54,33,45%,SSW,7mph,0mph,30.1in,0.0in,0.0in,Fair
16,3:56 AM,AM,04,53,28,38%,SW,6mph,0mph,30.1in,0.0in,0.0in,Fair
16,4:56 AM,AM,05,54,31,41%,WSW,3mph,0mph,30.1in,0.0in,0.0in,Fair
16,5:56 AM,AM,06,51,30,44%,SW,3mph,0mph,30.1in,0.0in,0.0in,Fair
16,6:56 AM,AM,07,53,42,66%,W,7mph,0mph,30.1in,0.0in,0.0in,Fair
16,7:56 AM,AM,08,53,36,52%,SSW,3mph,0mph,30.1in,0.0in,0.0in,Fair
16,8:56 AM,AM,09,61,47,60%,CALM,0mph,0mph,30.1in,0.0in,0.0in,Fair
16,9:56 AM,AM,10,63,51,65%,NNE,3mph,0mph,30.1in,0.0in,0.0in,Fair
16,10:56 AM,AM,11,65,49,56%,NE,3mph,0mph,30.1in,0.0in,0.0in,Fair
16,11:56 AM,AM,12,65,48,54%,ENE,5mph,0mph,30.1in,0.0in,0.0in,Fair
16,12:56 PM,PM,13,67,49,52%,ENE,5mph,0mph,30.1in,0.0in,0.0in,Fair
16,1:56 PM,PM,14,72,51,48%,NNW,9mph,0mph,30.0in,0.0in,0.0in,Fair
16,2:56 PM,PM,15,73,50,44%,WNW,13mph,0mph,30.0in,0.0in,0.0in,Fair
16,3:56 PM,PM,16,67,46,47%,WNW,16mph,0mph,30.0in,0.0in,0.0in,Fair
16,4:56 PM,PM,17,61,48,62%,WNW,22mph,0mph,30.0in,0.0in,0.0in,Partly Cloudy / Windy
16,5:56 PM,PM,18,59,49,69%,WNW,18mph,0mph,30.0in,0.0in,0.0in,Fair
16,6:56 PM,PM,19,56,49,77%,WNW,17mph,25mph,30.0in,0.0in,0.0in,Fair
16,7:56 PM,PM,20,56,52,87%,WNW,12mph,0mph,30.0in,0.0in,0.0in,Fair
16,8:56 PM,PM,21,56,51,84%,WNW,10mph,0mph,30.0in,0.0in,0.0in,Fair
16,9:56 PM,PM,22,56,51,84%,WNW,10mph,0mph,30.0in,0.0in,0.0in,Fair
16,10:56 PM,PM,23,56,51,84%,WNW,9mph,0mph,30.1in,0.0in,0.0in,Fair
17,11:56 PM,PM,00,54,51,90%,W,14mph,0mph,30.1in,0.0in,0.0in,Fair
17,12:56 AM,AM,01,53,50,89%,WNW,12mph,0mph,30.0in,0.0in,0.0in,Fair
17,1:56 AM,AM,02,52,50,93%,W,10mph,0mph,30.0in,0.0in,0.0in,Fair
17,2:56 AM,AM,03,53,50,89%,WNW,10mph,0mph,30.1in,0.0in,0.0in,Partly Cloudy
17,3:56 AM,AM,04,54,49,83%,WNW,12mph,0mph,30.1in,0.0in,0.0in,Fair
17,4:56 AM,AM,05,52,49,89%,VAR,5mph,0mph,30.1in,0.0in,0.0in,Fair
17,5:56 AM,AM,06,50,44,80%,SW,5mph,0mph,30.1in,0.0in,0.0in,Fair
17,6:56 AM,AM,07,53,49,86%,W,9mph,0mph,30.1in,0.0in,0.0in,Partly Cloudy
17,7:56 AM,AM,08,52,50,93%,W,5mph,0mph,30.1in,0.0in,0.0in,Fair
17,8:56 AM,AM,09,56,49,77%,SSE,5mph,0mph,30.1in,0.0in,0.0in,Fair
17,9:56 AM,AM,10,57,50,77%,SSE,6mph,0mph,30.1in,0.0in,0.0in,Partly Cloudy
17,10:56 AM,AM,11,58,51,78%,ENE,5mph,0mph,30.1in,0.0in,0.0in,Fair
17,11:56 AM,AM,12,61,52,72%,NE,6mph,0mph,30.1in,0.0in,0.0in,Fair
17,12:56 PM,PM,13,63,52,67%,NNE,3mph,0mph,30.1in,0.0in,0.0in,Fair
17,1:56 PM,PM,14,68,52,56%,WNW,13mph,0mph,30.1in,0.0in,0.0in,Fair
17,2:56 PM,PM,15,64,51,63%,WNW,18mph,0mph,30.0in,0.0in,0.0in,Fair
17,3:56 PM,PM,16,61,51,70%,WNW,18mph,0mph,30.0in,0.0in,0.0in,Fair
17,4:56 PM,PM,17,61,51,70%,WNW,20mph,0mph,30.0in,0.0in,0.0in,Fair
17,5:56 PM,PM,18,58,50,75%,WNW,21mph,0mph,30.0in,0.0in,0.0in,Partly Cloudy / Windy
17,6:56 PM,PM,19,55,50,83%,WNW,18mph,0mph,30.0in,0.0in,0.0in,Fair
17,7:56 PM,PM,20,55,50,83%,WNW,15mph,0mph,30.1in,0.0in,0.0in,Fair
17,8:56 PM,PM,21,54,49,83%,WNW,16mph,0mph,30.1in,0.0in,0.0in,Fair
17,9:56 PM,PM,22,54,49,83%,WNW,9mph,0mph,30.1in,0.0in,0.0in,Fair
17,10:56 PM,PM,23,52,49,89%,WNW,10mph,0mph,30.1in,0.0in,0.0in,Fair
18,11:56 PM,PM,00,53,49,86%,W,10mph,0mph,30.1in,0.0in,0.0in,Fair
18,12:56 AM,AM,01,53,49,86%,W,8mph,0mph,30.1in,0.0in,0.0in,Partly Cloudy
18,1:56 AM,AM,02,51,48,89%,W,5mph,0mph,30.1in,0.0in,0.0in,Fair
18,2:56 AM,AM,03,52,48,86%,W,7mph,0mph,30.1in,0.0in,0.0in,Fair
18,3:56 AM,AM,04,51,48,89%,WSW,3mph,0mph,30.1in,0.0in,0.0in,Fair
18,4:56 AM,AM,05,50,46,86%,SSW,5mph,0mph,30.1in,0.0in,0.0in,Fair
18,5:56 AM,AM,06,50,47,89%,WSW,5mph,0mph,30.1in,0.0in,0.0in,Mostly Cloudy
18,6:56 AM,AM,07,53,50,89%,SSW,6mph,0mph,30.1in,0.0in,0.0in,Mostly Cloudy
18,7:56 AM,AM,08,53,50,89%,SSE,3mph,0mph,30.1in,0.0in,0.0in,Cloudy
18,8:56 AM,AM,09,55,50,83%,SSE,7mph,0mph,30.1in,0.0in,0.0in,Cloudy
18,9:56 AM,AM,10,56,50,80%,E,3mph,0mph,30.1in,0.0in,0.0in,Cloudy
18,10:56 AM,AM,11,58,51,78%,E,5mph,0mph,30.1in,0.0in,0.0in,Partly Cloudy
18,11:56 AM,AM,12,61,52,72%,CALM,0mph,0mph,30.1in,0.0in,0.0in,Fair
18,12:56 PM,PM,13,61,53,75%,ENE,5mph,0mph,30.1in,0.0in,0.0in,Fair
18,1:56 PM,PM,14,67,52,59%,NNW,9mph,0mph,30.1in,0.0in,0.0in,Fair
18,2:56 PM,PM,15,68,52,56%,NW,12mph,0mph,30.1in,0.0in,0.0in,Fair
18,3:56 PM,PM,16,64,51,63%,WNW,20mph,0mph,30.1in,0.0in,0.0in,Fair
18,4:56 PM,PM,17,61,51,70%,W,22mph,0mph,30.0in,0.0in,0.0in,Fair / Windy
18,5:56 PM,PM,18,59,51,75%,W,22mph,0mph,30.0in,0.0in,0.0in,Partly Cloudy / Windy
18,6:56 PM,PM,19,55,52,89%,WNW,23mph,0mph,30.1in,0.0in,0.0in,Fair / Windy
18,7:56 PM,PM,20,56,52,87%,WNW,17mph,0mph,30.1in,0.0in,0.0in,Fair
18,8:56 PM,PM,21,56,52,87%,WNW,13mph,0mph,30.1in,0.0in,0.0in,Fair
18,9:56 PM,PM,22,55,51,86%,WNW,10mph,0mph,30.1in,0.0in,0.0in,Fair
18,10:56 PM,PM,23,55,52,89%,WNW,6mph,0mph,30.1in,0.0in,0.0in,Fair
19,11:56 PM,PM,00,55,51,86%,W,8mph,0mph,30.1in,0.0in,0.0in,Fair
19,12:56 AM,AM,01,53,50,89%,W,7mph,0mph,30.1in,0.0in,0.0in,Fair
19,1:56 AM,AM,02,52,50,93%,W,8mph,0mph,30.1in,0.0in,0.0in,Fair
19,2:56 AM,AM,03,53,49,86%,W,6mph,0mph,30.1in,0.0in,0.0in,Fair
19,3:56 AM,AM,04,52,49,89%,W,8mph,0mph,30.1in,0.0in,0.0in,Fair
19,4:56 AM,AM,05,51,49,92%,W,7mph,0mph,30.1in,0.0in,0.0in,Partly Cloudy
19,5:56 AM,AM,06,50,49,96%,W,6mph,0mph,30.1in,0.0in,0.0in,Fair
19,6:56 AM,AM,07,50,49,96%,W,7mph,0mph,30.1in,0.0in,0.0in,Fair
19,7:56 AM,AM,08,52,51,97%,WNW,6mph,0mph,30.1in,0.0in,0.0in,Fair
19,8:56 AM,AM,09,57,54,89%,CALM,0mph,0mph,30.1in,0.0in,0.0in,Mostly Cloudy
19,9:56 AM,AM,10,58,55,90%,NNE,5mph,0mph,30.1in,0.0in,0.0in,Mostly Cloudy
19,10:56 AM,AM,11,59,56,90%,ENE,5mph,0mph,30.1in,0.0in,0.0in,Mostly Cloudy
19,11:56 AM,AM,12,64,56,75%,NNE,3mph,0mph,30.1in,0.0in,0.0in,Fair
19,12:56 PM,PM,13,67,57,70%,N,7mph,0mph,30.1in,0.0in,0.0in,Fair
19,1:56 PM,PM,14,69,56,63%,NE,5mph,0mph,30.1in,0.0in,0.0in,Fair
19,2:56 PM,PM,15,72,53,51%,WNW,16mph,0mph,30.1in,0.0in,0.0in,Fair
19,3:56 PM,PM,16,71,53,53%,WNW,15mph,0mph,30.0in,0.0in,0.0in,Fair
19,4:56 PM,PM,17,67,52,59%,WNW,18mph,0mph,30.0in,0.0in,0.0in,Fair
19,5:56 PM,PM,18,63,51,65%,WNW,17mph,0mph,30.0in,0.0in,0.0in,Fair
19,6:56 PM,PM,19,61,49,64%,W,18mph,0mph,30.0in,0.0in,0.0in,Fair
19,7:56 PM,PM,20,59,51,75%,W,18mph,0mph,30.0in,0.0in,0.0in,Fair
19,8:56 PM,PM,21,59,52,78%,WNW,14mph,0mph,30.0in,0.0in,0.0in,Fair
19,9:56 PM,PM,22,58,52,81%,WNW,10mph,0mph,30.0in,0.0in,0.0in,Partly Cloudy
19,10:56 PM,PM,23,56,52,87%,W,13mph,0mph,30.0in,0.0in,0.0in,Fair
20,11:56 PM,PM,00,55,51,86%,WNW,12mph,0mph,30.0in,0.0in,0.0in,Fair
20,12:56 AM,AM,01,54,51,90%,WNW,13mph,0mph,30.0in,0.0in,0.0in,Fair
20,1:56 AM,AM,02,53,51,93%,WNW,16mph,0mph,30.0in,0.0in,0.0in,Fair
20,2:56 AM,AM,03,52,51,97%,WNW,10mph,0mph,30.0in,0.0in,0.0in,Fair
20,3:56 AM,AM,04,53,50,89%,W,12mph,0mph,30.0in,0.0in,0.0in,Fair
20,4:56 AM,AM,05,53,50,89%,WNW,10mph,0mph,30.0in,0.0in,0.0in,Fair
20,5:56 AM,AM,06,54,50,86%,WNW,7mph,0mph,30.0in,0.0in,0.0in,Fair
20,6:56 AM,AM,07,52,50,93%,W,6mph,0mph,30.0in,0.0in,0.0in,Fair
20,7:56 AM,AM,08,50,48,93%,CALM,0mph,0mph,30.0in,0.0in,0.0in,Fair
20,8:56 AM,AM,09,56,50,80%,CALM,0mph,0mph,30.0in,0.0in,0.0in,Mostly Cloudy
20,9:56 AM,AM,10,56,51,84%,NNW,3mph,0mph,30.0in,0.0in,0.0in,Partly Cloudy
20,10:56 AM,AM,11,59,51,75%,WNW,10mph,0mph,30.0in,0.0in,0.0in,Fair
20,11:56 AM,AM,12,63,52,67%,NW,8mph,0mph,30.0in,0.0in,0.0in,Fair
20,12:56 PM,PM,13,65,53,65%,N,6mph,0mph,30.0in,0.0in,0.0in,Fair
20,1:56 PM,PM,14,65,52,63%,WNW,14mph,0mph,30.0in,0.0in,0.0in,Fair
20,2:56 PM,PM,15,65,52,63%,WNW,17mph,0mph,29.9in,0.0in,0.0in,Fair
20,3:56 PM,PM,16,61,51,70%,WNW,23mph,0mph,29.9in,0.0in,0.0in,Fair / Windy
20,4:56 PM,PM,17,59,51,75%,WNW,20mph,0mph,29.9in,0.0in,0.0in,Fair
20,5:56 PM,PM,18,56,50,80%,WNW,20mph,0mph,29.9in,0.0in,0.0in,Fair
20,6:56 PM,PM,19,56,50,80%,WNW,18mph,0mph,29.9in,0.0in,0.0in,Fair
20,7:56 PM,PM,20,55,51,86%,WNW,20mph,25mph,29.9in,0.0in,0.0in,Fair
20,8:56 PM,PM,21,53,50,89%,WNW,16mph,0mph,29.9in,0.0in,0.0in,Fair
20,9:56 PM,PM,22,53,50,89%,WNW,14mph,0mph,30.0in,0.0in,0.0in,Fair
20,10:56 PM,PM,23,52,50,93%,WNW,15mph,0mph,30.0in,0.0in,0.0in,Fair
21,11:56 PM,PM,00,52,50,93%,W,14mph,0mph,30.0in,0.0in,0.0in,Fair
21,12:56 AM,AM,01,53,49,86%,WNW,13mph,0mph,30.0in,0.0in,0.0in,Fair
21,1:56 AM,AM,02,53,49,86%,W,8mph,0mph,30.0in,0.0in,0.0in,Fair
21,2:56 AM,AM,03,52,49,89%,W,7mph,0mph,30.0in,0.0in,0.0in,Fair
21,3:56 AM,AM,04,52,49,89%,W,8mph,0mph,30.0in,0.0in,0.0in,Partly Cloudy
21,4:56 AM,AM,05,54,49,83%,W,6mph,0mph,30.0in,0.0in,0.0in,Cloudy
21,5:56 AM,AM,06,51,47,86%,S,5mph,0mph,30.0in,0.0in,0.0in,Cloudy
21,6:56 AM,AM,07,52,49,89%,SSW,6mph,0mph,30.0in,0.0in,0.0in,Cloudy
21,7:56 AM,AM,08,52,50,93%,W,3mph,0mph,30.0in,0.0in,0.0in,Cloudy
21,8:56 AM,AM,09,54,50,86%,W,6mph,0mph,30.0in,0.0in,0.0in,Cloudy
21,9:56 AM,AM,10,56,50,80%,NNW,5mph,0mph,30.0in,0.0in,0.0in,Mostly Cloudy
21,10:56 AM,AM,11,58,50,75%,WNW,6mph,0mph,30.0in,0.0in,0.0in,Mostly Cloudy
21,11:56 AM,AM,12,61,51,70%,N,5mph,0mph,30.0in,0.0in,0.0in,Fair
21,12:56 PM,PM,13,61,50,67%,WNW,13mph,0mph,30.0in,0.0in,0.0in,Fair
21,1:56 PM,PM,14,61,50,67%,WNW,20mph,0mph,29.9in,0.0in,0.0in,Fair
21,2:56 PM,PM,15,61,50,67%,WNW,17mph,0mph,29.9in,0.0in,0.0in,Fair
